timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545420802495,4710,Open Login Page,200,OK,Thread Group 1-500,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4710,0,49
1545420801824,5384,Open Login Page,200,OK,Thread Group 1-158,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5384,0,724
1545420802499,4714,Open Login Page,200,OK,Thread Group 1-543,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4714,0,51
1545420802499,4714,Open Login Page,200,OK,Thread Group 1-424,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4714,0,51
1545420802497,4720,Open Login Page,200,OK,Thread Group 1-497,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4720,0,58
1545420802499,4721,Open Login Page,200,OK,Thread Group 1-542,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4721,0,51
1545420802498,4738,Open Login Page,200,OK,Thread Group 1-501,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4738,0,52
1545420802500,4741,Open Login Page,200,OK,Thread Group 1-449,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4741,0,52
1545420802501,4741,Open Login Page,200,OK,Thread Group 1-480,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4741,0,51
1545420802503,4742,Open Login Page,200,OK,Thread Group 1-433,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4742,0,55
1545420802502,4796,Open Login Page,200,OK,Thread Group 1-476,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4796,0,55
1545420802502,4801,Open Login Page,200,OK,Thread Group 1-574,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4801,0,55
1545420802504,4802,Open Login Page,200,OK,Thread Group 1-547,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4801,0,54
1545420802028,5280,Open Login Page,200,OK,Thread Group 1-289,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5280,0,212
1545420801786,5524,Open Login Page,200,OK,Thread Group 1-149,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5524,0,565
1545420801927,5388,Open Login Page,200,OK,Thread Group 1-248,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5388,0,312
1545420801923,5392,Open Login Page,200,OK,Thread Group 1-242,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5392,0,317
1545420801942,5373,Open Login Page,200,OK,Thread Group 1-255,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5373,0,292
1545420801994,5321,Open Login Page,200,OK,Thread Group 1-291,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5321,0,255
1545420802505,4811,Open Login Page,200,OK,Thread Group 1-421,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4811,0,93
1545420802552,4809,Open Login Page,200,OK,Thread Group 1-539,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4809,0,56
1545420802554,4818,Open Login Page,200,OK,Thread Group 1-444,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4818,0,60
1545420802552,4829,Open Login Page,200,OK,Thread Group 1-538,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4829,0,56
1545420802553,4828,Open Login Page,200,OK,Thread Group 1-448,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4828,0,61
1545420802552,4838,Open Login Page,200,OK,Thread Group 1-545,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4838,0,62
